City,Total cases,Active,Recovered,Death
Đà Nẵng,145,135,6,4
Hà Nội,143,22,121,0
Hồ Chí Minh,70,8,62,0
Quảng Nam,51,44,5,2
Bà Rịa - Vũng Tàu,32,23,9,0
Thái Bình,31,1,30,0
Bạc Liêu,24,1,23,0
Ninh Bình,23,10,13,0
Vĩnh Phúc,19,0,19,0
Thanh Hóa,17,1,16,0
Quảng Ninh,11,0,11,0
Bình Thuận,9,0,9,0
Nam Định,7,7,0,0
Đồng Tháp,6,0,6,0
Hoà Bình,6,6,0,0
Hà Nam,5,1,4,0
Hải Dương,5,0,5,0
Hưng Yên,5,0,5,0
Trà Vinh,4,2,2,0
Tây Ninh,4,0,4,0
Bắc Giang,4,0,4,0
Quảng Ngãi,4,4,0,0
Hà Tĩnh,4,0,4,0
Đắk Lắk,3,3,0,0
Thừa Thiên Huế,2,0,2,0
Đồng Nai,2,1,1,0
Lào Cai,2,0,2,0
Cần Thơ,2,0,2,0
Khánh Hòa,2,1,1,0
Ninh Thuận,2,0,2,0
,1,1,0,0
Hà Giang,1,0,1,0
Kiên Giang,1,1,0,0
Bắc Ninh,1,0,1,0
Lai Châu,1,0,1,0
Cà Mau,1,0,1,0
Bến Tre,1,0,1,0
Thái Nguyên,1,0,1,0
