City,Total cases,Active,Recovered,Death
Hà Nội,123,2,121,0
Hồ Chí Minh,64,2,62,0
Đà Nẵng,40,34,6,0
Thái Bình,30,0,30,0
Bà Rịa - Vũng Tàu,26,17,9,0
Bạc Liêu,24,1,23,0
Ninh Bình,23,10,13,0
Vĩnh Phúc,19,0,19,0
Thanh Hóa,17,3,14,0
Quảng Ninh,11,2,9,0
Bình Thuận,9,0,9,0
Quảng Nam,8,3,5,0
Nam Định,7,7,0,0
Đồng Tháp,6,0,6,0
Hưng Yên,5,0,5,0
Hải Dương,5,1,4,0
Hà Nam,4,0,4,0
Tây Ninh,4,0,4,0
Bắc Giang,4,0,4,0
Hoà Bình,4,4,0,0
Hà Tĩnh,4,0,4,0
Thừa Thiên Huế,2,0,2,0
Trà Vinh,2,0,2,0
Quảng Ngãi,2,2,0,0
Lào Cai,2,0,2,0
Cần Thơ,2,0,2,0
Ninh Thuận,2,0,2,0
Thái Nguyên,1,0,1,0
Đắk Lắk,1,1,0,0
Hà Giang,1,0,1,0
Kiên Giang,1,1,0,0
Đồng Nai,1,0,1,0
Bắc Ninh,1,0,1,0
Khánh Hòa,1,0,1,0
Lai Châu,1,0,1,0
Cà Mau,1,0,1,0
Bến Tre,1,0,1,0
